Name,Empty,Date,Director,Notes,Rate,Year,Extra
Sonatine / 奏鳴曲,,"February 6, 2018",Kitano Takeshi 北野武,,,1993,
Blow Up / 春光乍現,,"February 1, 2018",Michelangelo Antonioni,,,1966,
"A Room With a View / 窗外有藍天 ",Helena Bonham Carter,"April 18, 2018",James Ivory,,,1985,
The Pianist / 鋼琴教師,,"January 30, 2018",,,,,
Howards End / 此情可問天,,"April 14, 2018",James Ivory,#EMForster,,1992,
Hanabi / 花火,,"February 5, 2018",Kitano Takeshi 北野武,,,1997,
凶暴的男人,,"August 18, 2018",Kitano Takeshi 北野武,,,1989,
星際大戰首部曲,,"September 6, 2018",,,,,
星際大戰二部曲,,"September 6, 2018",,,,,
Amy / 艾美懷絲,,"September 6, 2018",,Documentary of the famous singer very dear to my heart,9.5,2015,
Trois Couleurs : Bleu / 藍色情挑,Julette Binoche,"September 17, 2018",Krzysztof Kieślowski,,,1993,
Trois Couleurs : Blanc / 白色情迷,Julie Delpy,"September 17, 2018",Krzysztof Kieślowski,,,1994,
What Have I Done To Deserve This?,,"October 18, 2018",Pedro Almodóvar,,,1984,
瀕臨崩潰邊緣的女人,,"October 11, 2018",Pedro Almodóvar,,,,
Mysterious Train / 神秘列車,,"November 28, 2018",Jim Jarmusch,,,1989,
"Ruben Brandt, Collector / 盜夢特攻隊",,"November 12, 2018",,金馬影展 2018 Taipei Golden Horse Festival,,,
Grain / 如果麥子消失,,"November 12, 2018",,金馬影展 2018 Taipei Golden Horse Festival,,,
Farewell My Concubine / 霸王別姬,,"December 17, 2018",陳凱歌,,,1993,
Mommy / 親愛媽咪,,"January 1, 2018",Xavier Dolan,,,,
千禧曼波,,"January 1, 2015",侯孝賢,,,2001,
2046,,"January 1, 2017",Kar Wai Wong 王家衛,Watched in 2015,,2004,
花痕,,"September 1, 2013",中西健二,北川景子,,,
American Beauty,,"January 1, 2014",,,,1999,
海街日記,,"January 1, 2015",Hirokazu Koreeda 是枝裕和,,,2015,
聽媽媽的話,,"January 1, 2013",Xavier Dolan,,,,
菊次郎之夏,,"January 1, 2017",Kitano Takeshi 北野武,,,1999,
(500) Days of Summer / 戀夏500日,,"January 1, 2012",,2012,,2009,
Juno,,"September 1, 2012",,,,2007,
The Double Life of Veronique / 雙面薇若妮卡,,"January 1, 2017",Krzysztof Kieslowski,,,1991,
行動代號孫中山,,"January 1, 2013",易智言,,,2014,
咖啡時光,,"January 1, 2015",Edward Yang 楊德昌,Watched in 2014 or 2015,,2003,
The Perks of Being a Wallflower,,"January 1, 2014",,,,2012,
"Like Father, Like Son / 我的意外爸爸",,"January 1, 2013",Hirokazu Koreeda 是枝裕和,,,2013,
阿飛正傳,,"January 1, 2017",Kar Wai Wong 王家衛,Watched in 2015,,1990,
不過就是世界末日,,"January 1, 2017",Xavier Dolan,,,,
花與愛麗絲,,"January 1, 2015",岩井俊二,,,2004,
東邪西毒,,"January 1, 2015",Kar Wai Wong 王家衛,Watched in 2015,,1994,
射鵰英雄傳之東成西就,,"January 1, 2015",Kar Wai Wong 王家衛,,,1993,
扶桑花女孩,,"September 1, 2013",李相日,蒼井優,,2006,
情書,,"January 1, 2015",岩井俊二,,,1995,
Blue Gate Crossing,,"January 1, 2013",易智言,,,2002,
Laurence Anyways / 雙面勞倫斯,,"January 1, 2018",Xavier Dolan,,,,
Where the Wild Things Are / 野獸冒險樂園,,"January 1, 2016",,,,,
那年夏天，寧靜的海,,"January 1, 2016",Kitano Takeshi 北野武,,,1991,
A One and A Two / 一一,,"January 1, 2015",Edward Yang 楊德昌,,,2000,
TEACHING TO SEE,,"February 2, 2023",Andrei Severny,"Good introduction to Inge Druckrey, Typography, and the principles of graphic design",8.5,2012,
體能之巔,,"January 31, 2023",,,,2022,
Lolita,,"February 10, 2023",Stanley Kubrick,,7.48,1962,
My Big Fat Greek Wedding,,"February 11, 2023",,,6,2002,
"Romeo
 + Juliet",,"February 12, 2023",,,6,1996,
The Last of Us,,"March 1, 2023",,,8.5,2023,
Euphoria S1,,"February 21, 2023",,,8,2019,
Burn After Reading,,"March 9, 2023",Coen Brothers,,8.5,2008,
Italianamerican,,"March 10, 2023",Martin Scorsese,,6,1974,
007: Dr No,,"March 10, 2023",,,,1962,
Castle of the Sky,,"August 17, 2023",,,7.5,1986,
Nausicaa,,"August 24, 2023",,,4,1984,
